package_path,folder,file,asset_type,variable_or_script,hdf5_shape,matlab_logical_dimensions,dtype_or_language,compression,description,notes
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/corr_w_w_20200218.m,corr_lag5_2006,corr_w_w_20200218.m,matlab_script,corr_w_w_20200218.m,,,MATLAB,,Computes block-wise Pearson correlation matrix chunks for the named workplace/residence pairing; uses MATLAB parfor and writes corr_*_lag5_*.mat outputs.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/r_r_d.mat,corr_lag5_2006,r_r_d.mat,symlink_pointer,r_r_d.mat,,,symlink,,Pointer to common_inputs copy of an exact duplicate MATLAB input matrix.,Symlink target: ../common_inputs/r_r_d.mat
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/r_r_d_select.mat,corr_lag5_2006,r_r_d_select.mat,symlink_pointer,r_r_d_select.mat,,,symlink,,Pointer to common_inputs copy of an exact duplicate MATLAB input matrix.,Symlink target: ../common_inputs/r_r_d_select.mat
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/w_r_d.mat,corr_lag5_2006,w_r_d.mat,symlink_pointer,w_r_d.mat,,,symlink,,Pointer to common_inputs copy of an exact duplicate MATLAB input matrix.,Symlink target: ../common_inputs/w_r_d.mat
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2006/w_r_d_select.mat,corr_lag5_2006,w_r_d_select.mat,symlink_pointer,w_r_d_select.mat,,,symlink,,Pointer to common_inputs copy of an exact duplicate MATLAB input matrix.,Symlink target: ../common_inputs/w_r_d_select.mat
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/corr_r_r_20200218.m,corr_lag5_2016,corr_r_r_20200218.m,matlab_script,corr_r_r_20200218.m,,,MATLAB,,Computes block-wise Pearson correlation matrix chunks for the named workplace/residence pairing; uses MATLAB parfor and writes corr_*_lag5_*.mat outputs.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/corr_r_w_20200218.m,corr_lag5_2016,corr_r_w_20200218.m,matlab_script,corr_r_w_20200218.m,,,MATLAB,,Computes block-wise Pearson correlation matrix chunks for the named workplace/residence pairing; uses MATLAB parfor and writes corr_*_lag5_*.mat outputs.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/corr_w_r_20200218.m,corr_lag5_2016,corr_w_r_20200218.m,matlab_script,corr_w_r_20200218.m,,,MATLAB,,Computes block-wise Pearson correlation matrix chunks for the named workplace/residence pairing; uses MATLAB parfor and writes corr_*_lag5_*.mat outputs.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/corr_w_w_20200218.m,corr_lag5_2016,corr_w_w_20200218.m,matlab_script,corr_w_w_20200218.m,,,MATLAB,,Computes block-wise Pearson correlation matrix chunks for the named workplace/residence pairing; uses MATLAB parfor and writes corr_*_lag5_*.mat outputs.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/correlation_spatial_20200219.m,corr_lag5_2016,correlation_spatial_20200219.m,matlab_script,correlation_spatial_20200219.m,,,MATLAB,,Combines correlation-matrix chunks with density inputs to create lag-5 weighted density matrices.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/ln_correlation_20200320.m,corr_lag5_2016,ln_correlation_20200320.m,matlab_script,ln_correlation_20200320.m,,,MATLAB,,2017/log-transform lag script; combines corr_* chunks with w_r_ln_select_2017 to create lagged matrices.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/ln_correlation_calculate.m,corr_lag5_2016,ln_correlation_calculate.m,matlab_script,ln_correlation_calculate.m,,,MATLAB,,Helper script for log-correlation calculations.,Script descriptions are inferred from filenames and inspected load/save statements; scripts may require MATLAB Parallel Computing Toolbox for parfor sections.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/r_r_d.mat,corr_lag5_2016,r_r_d.mat,symlink_pointer,r_r_d.mat,,,symlink,,Pointer to common_inputs copy of an exact duplicate MATLAB input matrix.,Symlink target: ../common_inputs/r_r_d.mat
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/r_r_d_select.mat,corr_lag5_2016,r_r_d_select.mat,symlink_pointer,r_r_d_select.mat,,,symlink,,Pointer to common_inputs copy of an exact duplicate MATLAB input matrix.,Symlink target: ../common_inputs/r_r_d_select.mat
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/r_r_lag5.mat,corr_lag5_2016,r_r_lag5.mat,matlab_v7_3_hdf5_data,r_r_lag5,11 x 33705,33705 x 11,float64,gzip,Lag-5 derived correlation/weighted-density output matrix produced or consumed by MATLAB scripts.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/r_r_lag5_p.mat,corr_lag5_2016,r_r_lag5_p.mat,matlab_v7_3_hdf5_data,r_r_lag5_p,6 x 33705,33705 x 6,float64,gzip,Lag-5 output matrix with suffix p; likely prediction/held-out subset based on script naming.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/r_w_lag5.mat,corr_lag5_2016,r_w_lag5.mat,matlab_v7_3_hdf5_data,r_w_lag5,11 x 33705,33705 x 11,float64,gzip,Lag-5 derived correlation/weighted-density output matrix produced or consumed by MATLAB scripts.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/r_w_lag5_p.mat,corr_lag5_2016,r_w_lag5_p.mat,matlab_v7_3_hdf5_data,r_w_lag5_p,6 x 33705,33705 x 6,float64,gzip,Lag-5 output matrix with suffix p; likely prediction/held-out subset based on script naming.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/w_r_d.mat,corr_lag5_2016,w_r_d.mat,symlink_pointer,w_r_d.mat,,,symlink,,Pointer to common_inputs copy of an exact duplicate MATLAB input matrix.,Symlink target: ../common_inputs/w_r_d.mat
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/w_r_d_select.mat,corr_lag5_2016,w_r_d_select.mat,symlink_pointer,w_r_d_select.mat,,,symlink,,Pointer to common_inputs copy of an exact duplicate MATLAB input matrix.,Symlink target: ../common_inputs/w_r_d_select.mat
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/w_r_lag5.mat,corr_lag5_2016,w_r_lag5.mat,matlab_v7_3_hdf5_data,w_r_lag5,11 x 8210,8210 x 11,float64,gzip,Lag-5 derived correlation/weighted-density output matrix produced or consumed by MATLAB scripts.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/w_r_ln_select.mat,corr_lag5_2016,w_r_ln_select.mat,matlab_v7_3_hdf5_data,w_r_ln_select,12 x 54378,54378 x 12,float64,gzip,Log-transformed selected input matrix used by lagged-correlation scripts.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/w_r_ln_select_2017.mat,corr_lag5_2016,w_r_ln_select_2017.mat,matlab_v7_3_hdf5_data,w_r_ln_select_2017,2 x 54378,54378 x 2,float64,gzip,Log-transformed 2017 selected input matrix used by the 2017/prediction lag script.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
code/legacy/data_code/matlab_correlation_workflow/corr_lag5_2016/w_w_lag5.mat,corr_lag5_2016,w_w_lag5.mat,matlab_v7_3_hdf5_data,w_w_lag5,11 x 8210,8210 x 11,float64,gzip,Lag-5 derived correlation/weighted-density output matrix produced or consumed by MATLAB scripts.,MATLAB v7.3 stores arrays in HDF5; Python/h5py readers may report dimensions transposed relative to MATLAB indexing.
